VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AGARA,1531,36,2,3
AMBHANJYANG,1255,57,9,82
BAJRABARAHI,1530,83,8,9
BASAMADI,3143,327,12,75
BETINI,611,4,0,2
BHAISE,1270,47,56,15
BHARTA PUNDYADEVI,687,0,4,2
BHIMFEDI,990,84,79,8
BUDHICHAUR,359,8,0,3
CHITLANG,1104,25,27,16
CHURIYAMAI,2840,94,3,43
DAMAN,1654,237,14,8
DANDAKHARKA,708,3,8,1
DHIYAL,1066,16,2,6
FAKHEL,971,31,2,7
FAPARBARI,3109,77,4,31
GOGANE,962,16,4,1
HANDIKHOLA,3601,19,3,53
HATIYA,2635,93,2,21
HETAUDA MUNICIPALITY,12610,6178,691,372
HURNAMADI,1441,38,1,44
IPA PANCHAKANYA,446,8,2,3
KALIKATAR,771,6,11,8
KANKADA,1288,5,10,1
KHAIRANG,577,2,4,0
KOGATE,264,10,5,1
KULEKHANI,651,14,2,3
MAKWANPURGADHI,2404,98,4,70
MANAHARI,3785,363,2,65
MANTHALI,487,16,4,2
MARKHU,622,5,7,0
NAMTAR,1515,83,20,91
NIBUWATAR,801,13,65,5
PADAM POKHARI,3452,111,3,41
PALUNG,1175,60,0,1
RAIGAUN,1852,29,5,7
RAKSIRANG,1117,26,6,3
SARIKHET PALASE,1490,4,5,19
SHIKHARPUR,1030,20,4,0
SHREEPUR CHHATIWAN,3986,112,6,68
SISNERI MAHADEVSTHAN,706,21,3,9
SUKAURA,618,30,1,5
THINGAN,686,23,1,3
TISTUNG DEURALI,1355,29,8,13
TOTAL,75155,8561,1109,1220
