VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BAGESWORI,841,0,31,35,158,2,0,6
BALKUMARI,463,0,0,0,28,0,1,4
BARSUNCHET,118,0,0,0,0,0,0,0
BELKOT,1325,1,9,113,92,3,0,6
BETINI,849,0,0,0,5,11,0,8
BHADRUTAR,567,0,1,64,50,0,19,4
BHALCHE,593,0,0,7,141,1,1,11
BIDUR MUNICIPALITY,5630,9,62,60,328,23,101,57
BUDHASING,659,0,0,0,3,0,0,15
BUNGTANG,553,0,5,14,23,3,0,1
CHARGHARE,1134,1,1,31,19,2,0,2
CHATURALE,620,0,22,33,10,8,0,15
CHAUGHADA,1076,0,18,1,47,18,0,4
CHAUTHE,603,0,7,67,3,5,0,12
CHHAP,312,0,0,20,44,41,10,21
DANGSING,612,0,0,8,0,2,1,2
DEURALI,906,0,1,4,88,4,0,2
DUIPIPAL,986,3,73,107,373,17,1,9
FIKURI,594,1,6,14,11,0,0,10
GANESHTHAN,680,0,0,37,75,1,0,14
GAUNKHARKA,623,0,0,2,2,0,0,1
GERKHU,1361,1,0,34,22,0,0,3
GHYANGPHEDI,577,0,1,3,0,2,0,21
GORSYANG,748,0,3,4,13,1,0,3
JILING,1059,0,5,161,32,4,0,10
KABILAS,710,0,4,49,31,38,13,18
KAKANI,1182,2,6,75,109,2,0,14
HALDE KALIKA,653,0,9,9,76,0,0,6
KALYANPUR,1139,2,0,50,33,8,0,11
KAULE,709,0,1,2,22,1,0,4
KHADAG BHANJYANG,1278,7,29,31,45,10,0,12
KHARANITAR,373,0,0,0,1,0,0,1
KHANIGAUN,909,0,52,90,134,19,0,6
KIMTANG,401,0,0,1,46,0,0,11
KUMARI,1186,2,133,237,17,9,6,28
LACHYANG,811,1,0,10,51,0,0,3
LIKHU,541,0,4,6,1,0,0,5
MADANPUR,1465,0,8,85,155,2,7,16
MAHAKALI,745,0,4,16,18,2,0,3
MANAKAMANA,676,0,0,42,52,11,0,8
NARJAMANDAP,917,0,2,64,11,1,2,15
OKHARPAUWA,1167,0,1,90,220,4,1,27
PANCHAKANYA,477,0,2,44,17,2,1,1
RALUKADEVI,891,3,1,14,7,0,0,0
RATMATE,730,0,1,26,54,9,0,2
RAUTBESI,648,0,1,1,0,0,0,4
SALME,403,0,0,0,17,0,0,2
SAMARI,1161,1,2,15,5,6,6,11
SAMUNDRADEVI,648,0,0,29,18,2,2,1
SAMUNDRATAR,430,1,3,0,6,7,0,3
SHIKHARBESI,653,0,3,13,61,15,0,1
SIKRE,345,0,2,20,1,1,0,1
SUNDARADEVI,479,4,3,5,18,1,1,0
SUNKHANI,391,0,17,50,66,3,5,1
SURYAMATI,602,0,0,13,70,0,0,7
TALAKHU,663,1,0,2,18,2,0,2
TARUKA,1005,0,1,53,57,4,0,7
THANAPATI,410,1,22,74,94,24,0,1
THANSING,980,0,23,185,190,1,3,6
THAPREK,703,1,9,12,28,3,3,1
TUPCHE,1205,0,0,9,50,4,0,11
URLENI,682,0,0,19,49,15,0,3
TOTAL,51857,42,588,2260,3415,354,184,494
